candidate_id,rank,score,reasoning
CAND_0046064,1,0.949215,Senior NLP Engineer with 8.9 years of experience in NLP; open to work.
CAND_0039754,2,0.933167,Senior Applied Scientist with 16.2 years of experience in search and retrieval; open to work; experience above the preferred range.
CAND_0079387,3,0.923485,AI Engineer with 6.9 years of experience; open to work.
CAND_0030953,4,0.912666,Search Engineer with 7.8 years of experience in search and retrieval.
CAND_0055905,5,0.903573,Senior Machine Learning Engineer with 8.1 years of experience in LLM applications; open to work.
CAND_0033861,6,0.880477,Senior NLP Engineer with 8.0 years of experience in NLP.
CAND_0041611,7,0.878659,Staff Machine Learning Engineer with 6.4 years of experience in LLM applications.
CAND_0083307,8,0.871513,Search Engineer with 7.8 years of experience in search and retrieval; open to work; 120-day notice period.
CAND_0018499,9,0.867758,Senior Machine Learning Engineer with 7.2 years of experience in LLM applications; open to work.
CAND_0007009,10,0.860904,Recommendation Systems Engineer with 7.9 years of experience in search and retrieval; open to work.
CAND_0055992,11,0.859609,AI Engineer with 16.9 years of experience in search and retrieval; open to work; experience above the preferred range.
CAND_0077337,12,0.848764,Staff Machine Learning Engineer with 7.0 years of experience in LLM applications; open to work; recruiter response rate 0.95.
CAND_0005649,13,0.846258,Senior Data Scientist with 7.4 years of experience; open to work; 90-day notice period.
CAND_0044855,14,0.834686,Senior Data Scientist with 6.6 years of experience in search and retrieval.
CAND_0005260,15,0.834556,Senior NLP Engineer with 5.2 years of experience in NLP.
CAND_0008425,16,0.824816,Senior NLP Engineer with 7.8 years of experience in NLP; open to work; 90-day notice period.
CAND_0092278,17,0.82293,Senior NLP Engineer with 6.8 years of experience in NLP; 90-day notice period.
CAND_0086022,18,0.820094,Senior Applied Scientist with 5.3 years of experience in LLM applications; open to work.
CAND_0044883,19,0.810488,AI Engineer with 6.3 years of experience; 90-day notice period.
CAND_0091534,20,0.808307,AI Engineer with 16.6 years of experience in search and retrieval; experience above the preferred range.
CAND_0069905,21,0.796702,Applied ML Engineer with 6.6 years of experience in search and retrieval; open to work; 90-day notice period.
CAND_0028793,22,0.796027,Search Engineer with 7.2 years of experience in search and retrieval; open to work; 120-day notice period.
CAND_0081846,23,0.787571,Lead AI Engineer with 6.7 years of experience in search and retrieval; open to work.
CAND_0096172,24,0.783853,NLP Engineer with 5.2 years of experience in NLP.
CAND_0071974,25,0.78329,Senior AI Engineer with 7.8 years of experience; open to work.
CAND_0046525,26,0.775321,Senior Machine Learning Engineer with 6.1 years of experience; open to work.
CAND_0011687,27,0.765908,Senior NLP Engineer with 7.8 years of experience in NLP; open to work.
CAND_0044222,28,0.752381,AI Engineer with 7.7 years of experience in search and retrieval; open to work.
CAND_0020877,29,0.750419,Applied ML Engineer with 5.1 years of experience in search and retrieval.
CAND_0079064,30,0.742999,Senior Data Scientist with 5.2 years of experience in search and retrieval; open to work; recruiter response rate 0.91; 120-day notice period.
CAND_0051292,31,0.742046,Applied ML Engineer with 5.2 years of experience in search and retrieval; open to work.
CAND_0040887,32,0.729448,Machine Learning Engineer with 4.7 years of experience in search and retrieval; open to work; approaching the preferred experience range.
CAND_0093547,33,0.728105,Senior Machine Learning Engineer with 2.9 years of experience in LLM applications; early-career candidate with relevant AI experience.
CAND_0086151,34,0.714695,Recommendation Systems Engineer with 7.7 years of experience in search and retrieval; open to work; 120-day notice period.
CAND_0029367,35,0.713592,Senior Data Scientist with 5.7 years of experience in search and retrieval; open to work; 90-day notice period.
CAND_0061265,36,0.711824,Recommendation Systems Engineer with 6.6 years of experience in search and retrieval; open to work; recruiter response rate 0.94; 120-day notice period.
CAND_0094759,37,0.709468,Lead AI Engineer with 8.6 years of experience in LLM applications.
CAND_0081686,38,0.709238,Search Engineer with 6.0 years of experience in search and retrieval; recruiter response rate 0.91.
CAND_0054123,39,0.707983,Applied ML Engineer with 4.7 years of experience in search and retrieval; approaching the preferred experience range.
CAND_0001610,40,0.707432,Machine Learning Engineer with 3.0 years of experience in search and retrieval; open to work; 90-day notice period; approaching the preferred experience range.
CAND_0041669,41,0.706186,Recommendation Systems Engineer with 8.0 years of experience; open to work.
CAND_0062247,42,0.704945,AI Engineer with 7.3 years of experience in search and retrieval; open to work.
CAND_0027691,43,0.703713,NLP Engineer with 6.5 years of experience in NLP; open to work.
CAND_0094056,44,0.698793,NLP Engineer with 5.9 years of experience in NLP; 120-day notice period.
CAND_0027801,45,0.694267,NLP Engineer with 7.4 years of experience in NLP; open to work; 120-day notice period.
CAND_0050454,46,0.688906,AI Engineer with 6.8 years of experience in search and retrieval; open to work.
CAND_0070398,47,0.686704,Machine Learning Engineer with 7.2 years of experience in search and retrieval; open to work; 120-day notice period.
CAND_0053695,48,0.685369,Recommendation Systems Engineer with 5.8 years of experience in search and retrieval; open to work.
CAND_0026532,49,0.683886,Recommendation Systems Engineer with 4.8 years of experience in search and retrieval; open to work; 90-day notice period; approaching the preferred experience range.
CAND_0076904,50,0.683316,Senior Data Scientist with 4.2 years of experience in search and retrieval; open to work; 90-day notice period; approaching the preferred experience range.
CAND_0075249,51,0.676503,Applied ML Engineer with 6.2 years of experience in search and retrieval; open to work.
CAND_0057563,52,0.675589,NLP Engineer with 6.8 years of experience in NLP.
CAND_0058575,53,0.675239,AI Engineer with 5.8 years of experience; open to work; 90-day notice period.
CAND_0088025,54,0.673407,Staff Machine Learning Engineer with 8.6 years of experience in LLM applications; open to work; 90-day notice period.
CAND_0013613,55,0.670861,Machine Learning Engineer with 4.7 years of experience in search and retrieval; open to work; approaching the preferred experience range.
CAND_0051630,56,0.665175,Machine Learning Engineer with 6.0 years of experience in search and retrieval; 90-day notice period.
CAND_0002025,57,0.656478,Senior AI Engineer with 5.9 years of experience in LLM applications; open to work.
CAND_0042506,58,0.654007,Search Engineer with 4.2 years of experience in search and retrieval; open to work; approaching the preferred experience range.
CAND_0010770,59,0.653676,Recommendation Systems Engineer with 15.2 years of experience in search and retrieval; open to work; experience above the preferred range.
CAND_0030827,60,0.652602,Senior Data Scientist with 5.4 years of experience in search and retrieval; open to work; 120-day notice period.
CAND_0043228,61,0.652382,Applied ML Engineer with 6.8 years of experience in search and retrieval.
CAND_0075574,62,0.650683,Machine Learning Engineer with 5.7 years of experience in production AI systems; open to work.
CAND_0018722,63,0.646923,Recommendation Systems Engineer with 6.6 years of experience in search and retrieval; open to work; 90-day notice period.
CAND_0039383,64,0.62848,Applied ML Engineer with 7.1 years of experience in search and retrieval; open to work; 90-day notice period.
CAND_0093331,65,0.627807,NLP Engineer with 16.1 years of experience in NLP; experience above the preferred range.
CAND_0054394,66,0.627146,Recommendation Systems Engineer with 4.1 years of experience in search and retrieval; open to work; approaching the preferred experience range.
CAND_0030348,67,0.627034,Machine Learning Engineer with 4.5 years of experience in search and retrieval; open to work; approaching the preferred experience range.
CAND_0036184,68,0.617843,Recommendation Systems Engineer with 6.0 years of experience in search and retrieval; open to work; recruiter response rate 0.90.
CAND_0080766,69,0.616331,Staff Machine Learning Engineer with 8.8 years of experience.
CAND_0070485,70,0.612062,Search Engineer with 6.4 years of experience in search and retrieval; open to work; 120-day notice period.
CAND_0020708,71,0.607757,Search Engineer with 4.2 years of experience in search and retrieval; open to work; approaching the preferred experience range.
CAND_0007411,72,0.607182,Senior Machine Learning Engineer with 8.0 years of experience in LLM applications.
CAND_0010685,73,0.606306,NLP Engineer with 6.7 years of experience in NLP; open to work.
CAND_0006557,74,0.59798,NLP Engineer with 7.9 years of experience in NLP; open to work; 120-day notice period.
CAND_0060054,75,0.594114,AI Engineer with 6.4 years of experience in search and retrieval.
CAND_0066376,76,0.592586,Applied ML Engineer with 5.7 years of experience in search and retrieval; open to work; 90-day notice period.
CAND_0089552,77,0.587568,Machine Learning Engineer with 6.0 years of experience in production AI systems; 120-day notice period.
CAND_0084819,78,0.587256,Search Engineer with 4.5 years of experience in search and retrieval; open to work; 120-day notice period; approaching the preferred experience range.
CAND_0016163,79,0.580483,Applied ML Engineer with 6.7 years of experience in search and retrieval; open to work; 120-day notice period.
CAND_0068811,80,0.576342,Applied ML Engineer with 8.0 years of experience in production AI systems; open to work.
CAND_0076251,81,0.568984,Search Engineer with 7.6 years of experience in search and retrieval; open to work.
CAND_0074225,82,0.568612,Machine Learning Engineer with 4.3 years of experience; open to work; recruiter response rate 0.91; 120-day notice period; approaching the preferred experience range.
CAND_0037944,83,0.565347,Senior Data Scientist with 4.9 years of experience; open to work; approaching the preferred experience range.
CAND_0077285,84,0.563793,Recommendation Systems Engineer with 5.5 years of experience in production AI systems; open to work.
CAND_0093912,85,0.561852,Senior Data Scientist with 5.3 years of experience in search and retrieval; open to work.
CAND_0049896,86,0.557907,Search Engineer with 7.3 years of experience in search and retrieval; open to work; 90-day notice period.
CAND_0011162,87,0.557366,Recommendation Systems Engineer with 5.8 years of experience; open to work; 90-day notice period.
CAND_0052328,88,0.557001,Recommendation Systems Engineer with 6.5 years of experience in production AI systems; open to work.
CAND_0052682,89,0.551766,NLP Engineer with 6.6 years of experience in NLP; open to work.
CAND_0017960,90,0.551564,Recommendation Systems Engineer with 7.7 years of experience; open to work.
CAND_0041568,91,0.535607,Search Engineer with 5.2 years of experience in search and retrieval; open to work; 90-day notice period.
CAND_0030031,92,0.528682,AI Engineer with 5.7 years of experience in production AI systems; recruiter response rate 0.94.
CAND_0095528,93,0.519016,Senior Data Scientist with 5.3 years of experience in production AI systems; open to work.
CAND_0064326,94,0.513704,Search Engineer with 7.6 years of experience in search and retrieval; open to work; recruiter response rate 0.94.
CAND_0098846,95,0.513482,AI Engineer with 7.6 years of experience in production AI systems; open to work.
CAND_0003977,96,0.510151,Recommendation Systems Engineer with 4.6 years of experience in search and retrieval; approaching the preferred experience range.
CAND_0065195,97,0.509747,Search Engineer with 5.1 years of experience in search and retrieval; open to work.
CAND_0037000,98,0.501173,Search Engineer with 2.7 years of experience in search and retrieval; early-career candidate with relevant AI experience.
CAND_0011432,99,0.499214,Senior Data Scientist with 7.6 years of experience; open to work.
CAND_0041610,100,0.498044,Recommendation Systems Engineer with 6.7 years of experience in production AI systems; open to work.
